component,explained_variance_ratio,cumulative_variance,eigenvalue,pca_score_std,max_abs_channel,max_abs_value,l2_norm
207,0.0010599818342711732,0.9267544417147168,0.01246244233158767,0.11163530951982742,292,0.20728183390706836,1.0
208,0.0010550649084286937,0.9278095066231454,0.012404632940162839,0.11137608782931298,140,0.16994036004688576,1.0
209,0.001040777175952107,0.9288502837990975,0.012236648889604986,0.11061938749425883,89,0.1701702642658756,1.0
210,0.0010329367125182468,0.9298832205116158,0.012144466816065404,0.11020193653500561,348,0.1999349151143453,1.0
211,0.0010229373774863137,0.930906157889102,0.012026902408675938,0.10966723489117403,322,0.15299934337484364,0.9999999999999999
212,0.0010140551769929737,0.931920213066095,0.011922472400682489,0.10919007464363457,18,0.16481638928029133,1.0
213,0.0010065560545650678,0.9329267691206601,0.011834303549317643,0.10878558520924379,295,0.17057248987002513,0.9999999999999999
214,0.0009948720926105379,0.9339216412132706,0.011696932608274193,0.10815235831120001,79,0.17098891072439698,1.0
215,0.0009890627769702529,0.9349107039902409,0.01162863119138923,0.10783613119631671,81,0.13962550433737103,1.0
216,0.0009686706406127768,0.9358793746308537,0.011388876305827765,0.10671867833621144,242,0.1689833545145017,0.9999999999999999
217,0.0009524848706138468,0.9368318595014675,0.01119857660569875,0.10582332732294307,234,0.16991518956010365,1.0
218,0.0009504677201110549,0.9377823272215786,0.01117486051830706,0.10571121283150176,236,0.17238648958155675,1.0
219,0.0009368822816866189,0.9387192095032653,0.011015133495220594,0.10495300612760262,306,0.1471209647269325,1.0
220,0.0009306836732706595,0.9396498931765359,0.01094225507653231,0.10460523446048152,157,0.13485423283816514,1.0000000000000002
221,0.0009197846594480549,0.940569677835984,0.010814112945371374,0.10399092722623149,315,0.14373371675000074,1.0
222,0.0009079259140736763,0.9414776037500576,0.010674687036761542,0.10331837705249508,28,0.18466919174086927,1.0
223,0.00089011985993349,0.9423677236099911,0.010465337295378681,0.10230023115994744,228,0.15656432177682883,1.0
224,0.0008788478833188229,0.9432465714933099,0.010332810157666097,0.10165043117304567,207,0.18523594668196963,0.9999999999999999
225,0.0008656508694450684,0.944112222362755,0.010177649928468478,0.10088433936180817,46,0.14236268751063794,1.0
226,0.0008602964980333062,0.9449725188607884,0.010114697392129146,0.10057185188773818,78,0.16897880288763806,1.0
227,0.0008544480741404541,0.9458269669349288,0.010045936170814949,0.10022941769168844,146,0.15345197585398565,1.0
228,0.0008485231398327833,0.9466754900747616,0.009976275399525822,0.09988130655696201,298,0.19205917019298374,1.0
229,0.0008374933058704026,0.947512983380632,0.00984659518686664,0.0992300115230601,320,0.1593635613073635,1.0
230,0.0008330975925454027,0.9483460809731773,0.009794913807009155,0.09896925687812935,216,0.1546943829917784,1.0
231,0.0008262050586166746,0.9491722860317939,0.009713876751629475,0.0985590013729313,252,0.1479503197129812,1.0000000000000002
232,0.000812958355181668,0.9499852443869756,0.009558132311201471,0.09776570109809202,373,0.1606305540686681,1.0
233,0.0008010750316126249,0.9507863194185883,0.009418417431286926,0.09704853131957704,191,0.1722496270879448,1.0
